Block,Preview,Name,Link,,,,
P2-19A,../../assets/thumbnails/P2-19A-optical-clearing/P2 19A CD31 546 laser 488_thumbnail.png,P2 19A CD31 546 laser 488.czi,/optical-clearing/P2/P2-19A/P2-19A-1,,,,
P2-19A,../../assets/thumbnails/P2-19A-optical-clearing/P2 19A CD31 546 laser 514_thumbnail.png,P2 19A CD31 546 laser 514.czi,/optical-clearing/P2/P2-19A/P2-19A-2,,,,
P2-19A,../../assets/thumbnails/P2-19A-optical-clearing/P2 19A CD31 546 laser 561_thumbnail.png,P2 19A CD31 546 laser 561.czi,/optical-clearing/P2/P2-19A/P2-19A-3,,,,
P2-19A,../../assets/thumbnails/P2-19A-optical-clearing/P2 19A GCC 405 CPep 488 CD31 456 PGP 647Parasym 488 TH 633 test tile z 9_Maximum intensity projection_thumbnail.png,P2 19A GCC 405 CPep 488 CD31 456 PGP 647Parasym 488 TH 633 test tile z 9_Maximum intensity projection.czi,/optical-clearing/P2/P2-19A/P2-19A-4,,,,
P2-19A,../../assets/thumbnails/P2-19A-optical-clearing/P2 19A GCC 405 CPep 488 CD31 456 PGP 647Parasym 488 TH 633 test tile z 9_thumbnail.png,P2 19A GCC 405 CPep 488 CD31 456 PGP 647Parasym 488 TH 633 test tile z 9.czi,/optical-clearing/P2/P2-19A/P2-19A-5,,,,
P2-19A,../../assets/thumbnails/P2-19A-optical-clearing/P2 19A GCG 405 Parasym 488 CD31 546 TH 633_Maximum intensity projection_thumbnail.png,P2 19A GCG 405 Parasym 488 CD31 546 TH 633_Maximum intensity projection.czi,/optical-clearing/P2/P2-19A/P2-19A-6,,,,
P2-19A,../../assets/thumbnails/P2-19A-optical-clearing/P2 19A GCG 405 Parasym 488 CD31 546 TH 633_thumbnail.png,P2 19A GCG 405 Parasym 488 CD31 546 TH 633.czi,/optical-clearing/P2/P2-19A/P2-19A-7,,,,
P2-19A,../../assets/thumbnails/P2-19A-optical-clearing/P2 19A GCG 405 TH 633 tile z 6um_Maximum intensity projection_thumbnail.png,P2 19A GCG 405 TH 633 tile z 6um_Maximum intensity projection.czi,/optical-clearing/P2/P2-19A/P2-19A-8,,,,
P2-19A,../../assets/thumbnails/P2-19A-optical-clearing/P2 19A GCG 405 TH 633 tile z 6um_thumbnail.png,P2 19A GCG 405 TH 633 tile z 6um.czi,/optical-clearing/P2/P2-19A/P2-19A-9,,,,
P2-19A,../../assets/thumbnails/P2-19A-optical-clearing/P2 19A Parasym 488 TH 633 tile z 25_thumbnail.png,P2 19A Parasym 488 TH 633 tile z 25.czi,/optical-clearing/P2/P2-19A/P2-19A-10,,,,
P2-19A,../../assets/thumbnails/P2-19A-optical-clearing/P2 19A TH 633 set exposure_thumbnail.png,P2 19A TH 633 set exposure.czi,/optical-clearing/P2/P2-19A/P2-19A-11,,,,
P2-13A,../../assets/thumbnails/P2-13A-optical-clearing/P2-13A INS 488 PGP 647 8 um stack_Maximum intensity projection_thumbnail.png,P2-13A INS 488 PGP 647 8 um stack_Maximum intensity projection.czi,/optical-clearing/P2/P2-13A/P2-13A-10,,,,
P2-13A,../../assets/thumbnails/P2-13A-optical-clearing/P2-13A INS 488 PGP 647 8 um stack_thumbnail.png,P2-13A INS 488 PGP 647 8 um stack.czi,/optical-clearing/P2/P2-13A/P2-13A-11,,,,
P2-13A,../../assets/thumbnails/P2-13A-optical-clearing/P2-13A INS 488 PGP 647 tile 8 um stack_thumbnail.png,P2-13A INS 488 PGP 647 tile 8 um stack.czi,/optical-clearing/P2/P2-13A/P2-13A-12,,,,
P2-13A,../../assets/thumbnails/P2-13A-optical-clearing/P2-13A INS 488 tile 25um stack _Maximum intensity projection_thumbnail.png,P2-13A INS 488 tile 25um stack _Maximum intensity projection.czi,/optical-clearing/P2/P2-13A/P2-13A-13,,,,
P2-13A,../../assets/thumbnails/P2-13A-optical-clearing/P2-13A INS 488 tile 25um stack_thumbnail.png,P2-13A INS 488 tile 25um stack.czi,/optical-clearing/P2/P2-13A/P2-13A-14,,,,
P2-13A,../../assets/thumbnails/P2-13A-optical-clearing/P2-13A PGP 647 488 tile 25um stack_thumbnail.png,P2-13A PGP 647 488 tile 25um stack.czi,/optical-clearing/P2/P2-13A/P2-13A-15,,,,
P2-13A,../../assets/thumbnails/P2-13A-optical-clearing/P2-13A PGP 647 tile 25um stack _Maximum intensity projection_thumbnail.png,P2-13A PGP 647 tile 25um stack _Maximum intensity projection.czi,/optical-clearing/P2/P2-13A/P2-13A-16,,,,
P2-1A,../../assets/thumbnails/P2-1A-optical-clearing/P2-1A GCG 405 INS 488 tile Z 20um_Maximum intensity projection_thumbnail.png,P2-1A GCG 405 INS 488 tile Z 20um_Maximum intensity projection.czi,/optical-clearing/P1/P1-1A/P1-1A-1,,,,
P2-1A,../../assets/thumbnails/P2-1A-optical-clearing/P2-1A GCG 405 INS 488 tile Z 20um_thumbnail.png,P2-1A GCG 405 INS 488 tile Z 20um.czi,/optical-clearing/P1/P1-1A/P1-1A-2,,,,
P2-1A,../../assets/thumbnails/P2-1A-optical-clearing/P2-1A GCG 405 TH 633 tile Z 20um_Maximum intensity projection_thumbnail.png,P2-1A GCG 405 TH 633 tile Z 20um_Maximum intensity projection.czi,/optical-clearing/P1/P1-1A/P1-1A-3,,,,
P2-1A,../../assets/thumbnails/P2-1A-optical-clearing/P2-1A GCG 405 TH 633 tile Z 20um_Maximum intensity projection-1_thumbnail.png,P2-1A GCG 405 TH 633 tile Z 20um_Maximum intensity projection-1.czi,/optical-clearing/P1/P1-1A/P1-1A-4,,,,
P2-1A,../../assets/thumbnails/P2-1A-optical-clearing/P2-1A INS 488 tile Z 20um_Maximum intensity projection_thumbnail.png,P2-1A INS 488 tile Z 20um_Maximum intensity projection.czi,/optical-clearing/P1/P1-1A/P1-1A-5,,4065,7917,0.513452065
P2-1A,../../assets/thumbnails/P2-1A-optical-clearing/P2-1A INS 488 tile Z 20um_thumbnail.png,P2-1A INS 488 tile Z 20um.czi,/optical-clearing/P1/P1-1A/P1-1A-6,,,,
P2-7A,../../assets/thumbnails/P2-7A-optical-clearing/P2-7A INS 488 PGP 647_Maximum intensity projection_thumbnail.png,P2-7A INS 488 PGP 647_Maximum intensity projection.czi,/optical-clearing/P2/P2-7A/P2-7A-4,,,,
P2-7A,../../assets/thumbnails/P2-7A-optical-clearing/P2-7A INS 488 PGP 647_stack z 8um_Maximum intensity projection_thumbnail.png,P2-7A INS 488 PGP 647_stack z 8um_Maximum intensity projection.czi,/optical-clearing/P2/P2-7A/P2-7A-5,,,,
P2-7A,../../assets/thumbnails/P2-7A-optical-clearing/P2-7A INS 488 PGP 647_stack z 8um_thumbnail.png,P2-7A INS 488 PGP 647_stack z 8um.czi,/optical-clearing/P2/P2-7A/P2-7A-6,,,,
P2-7A,../../assets/thumbnails/P2-7A-optical-clearing/P2-7A INS 488 PGP 647_stack z 8um-1_thumbnail.png,P2-7A INS 488 PGP 647_stack z 8um-1.czi,/optical-clearing/P2/P2-7A/P2-7A-7,,,,
P2-7A,../../assets/thumbnails/P2-7A-optical-clearing/P2-7A PGP 647 tile only_thumbnail.png,P2-7A PGP 647 tile only.czi,/optical-clearing/P2/P2-7A/P2-7A-8,,,,
P2-7A,../../assets/thumbnails/P2-7A-optical-clearing/P2-7A PGP 647 tile_thumbnail.png,P2-7A PGP 647 tile.czi,/optical-clearing/P2/P2-7A/P2-7A-9,,,,
P2-7A,../../assets/thumbnails/P2-7A-optical-clearing/P2-7A PGP 647_stack z 5 um 20x_Maximum intensity projection_thumbnail.png,P2-7A PGP 647_stack z 5 um 20x_Maximum intensity projection.czi,/optical-clearing/P2/P2-7A/P2-7A-10,,,,
P2-7A,../../assets/thumbnails/P2-7A-optical-clearing/P2-7A PGP 647_stack z 5 um 20x_thumbnail.png,P2-7A PGP 647_stack z 5 um 20x.czi,/optical-clearing/P2/P2-7A/P2-7A-11,,,,
P2-7A,../../assets/thumbnails/P2-7A-optical-clearing/P2-7A TH 633_Maximum intensity projection_thumbnail.png,P2-7A TH 633_Maximum intensity projection.czi,/optical-clearing/P2/P2-7A/P2-7A-12,,,,
P2-7A,../../assets/thumbnails/P2-7A-optical-clearing/P2-7A TH 633_thumbnail.png,P2-7A TH 633.czi,/optical-clearing/P2/P2-7A/P2-7A-13,,,,
