Block ID,X Center,Y Center,Z Center,X Size,Y Size,Z Size,Category,CYB5A,SOD1,CA2,RBP4,ALB,TF,CAT
115,546,380.5,87.5,50,53,35,True,-1.82741,,-1.38226,0.108499,0.159138,,-1.88475
160,546,380.5,122.5,50,53,35,True,-1.97194,,-0.0871294,0.352003,-0.755713,,-2.12448
34,546,433.5,17.5,50,53,35,True,-2.01105,,-1.53728,-0.63881,-1.05164,,-2.46535
79,546,433.5,52.5,50,53,35,True,-1.90584,,-1.39415,0.256565,-0.428527,,-2.17145
124,546,433.5,87.5,50,53,35,True,-1.67505,,-1.58068,0.664661,0.139657,,-1.25925
169,546,433.5,122.5,50,53,35,True,-0.479566,,0.249396,-1.02712,0.202233,,-0.395545
43,546,486.5,17.5,50,53,35,True,-1.23814,,0.0898313,0.357425,-0.0400414,,-1.11968
88,546,486.5,52.5,50,53,35,True,0.1683,,-0.856137,-1.89171,0.484843,,-0.904952
133,546,486.5,87.5,50,53,35,True,0.609939,,0.350804,-2.12549,-0.407921,,0.11323
178,546,486.5,122.5,50,53,35,False,0.685336,,0.613442,,0.129164,,0.347793
8,596,274.5,17.5,50,53,35,True,0.908437,,-0.371078,,-0.221731,,0.0
53,596,274.5,52.5,50,53,35,False,0.872023,,0.357584,,-0.520657,1.16078,0.602151
98,596,274.5,87.5,50,53,35,False,0.291299,,0.0202491,,3.22011,,0.884815
143,596,274.5,122.5,50,53,35,False,0.541086,,0.16588,,-0.0412842,,-0.52578
17,596,327.5,17.5,50,53,35,True,-1.09792,,-1.28707,-0.212828,-2.03579,,-0.59595
62,596,327.5,52.5,50,53,35,True,0.351535,,0.395757,,0.440404,,0.53337
107,596,327.5,87.5,50,53,35,True,0.0626868,,0.115858,-0.335642,0.583976,,-0.259869
152,596,327.5,122.5,50,53,35,True,0.187958,,0.662648,,0.643607,,0.473996
26,596,380.5,17.5,50,53,35,True,-1.92024,,-1.3442,0.400799,-0.569761,,-0.847171
71,596,380.5,52.5,50,53,35,True,-1.0406,,-0.304396,0.0157401,-0.286532,,-1.51146
116,596,380.5,87.5,50,53,35,True,-1.62204,0.718264,-0.991707,0.133885,-0.727776,,-1.63737
161,596,380.5,122.5,50,53,35,True,-0.522975,,0.492619,-0.530248,-0.0843161,,-0.352417
35,596,433.5,17.5,50,53,35,True,-1.31894,,-0.544665,0.647062,-0.2028,,-1.34105
80,596,433.5,52.5,50,53,35,True,-0.815506,,-0.367572,0.689117,-0.180799,,-0.696975
125,596,433.5,87.5,50,53,35,True,-0.537866,,-0.117307,1.90175,0.114273,,-0.379317
170,596,433.5,122.5,50,53,35,True,0.35658,,0.550164,,0.0648913,,-0.0234694
44,596,486.5,17.5,50,53,35,False,0.0248316,,0.194289,-1.63686,0.802496,,0.105781
89,596,486.5,52.5,50,53,35,True,0.279135,,0.332621,,-0.473812,,-0.172942
134,596,486.5,87.5,50,53,35,False,0.629404,,0.338473,,0.321194,,0.149941
179,596,486.5,122.5,50,53,35,False,-0.0903143,,0.897173,,0.47174,,-0.125351
9,646,274.5,17.5,50,53,35,False,0.785047,,0.379088,,1.14781,,0.696357
54,646,274.5,52.5,50,53,35,False,-0.21079,,-0.410414,,-0.654032,,0.653871
99,646,274.5,87.5,50,53,35,False,0.699033,,-0.20225,,0.24451,,0.390636
144,646,274.5,122.5,50,53,35,False,,,,,,,
18,646,327.5,17.5,50,53,35,True,0.730107,,-0.219625,,1.12076,,0.380173
63,646,327.5,52.5,50,53,35,False,0.716563,,0.381164,,-1.83837,,0.545129
108,646,327.5,87.5,50,53,35,False,0.484138,,0.0585692,,0.524578,,0.193121
153,646,327.5,122.5,50,53,35,False,0.497707,,0.423163,,0.0617475,,-0.0036992
27,646,380.5,17.5,50,53,35,True,0.61152,,-0.32742,-0.545357,-0.816359,,0.248217
72,646,380.5,52.5,50,53,35,True,0.503389,,0.111359,,-0.077478,,0.586429
117,646,380.5,87.5,50,53,35,False,0.0115713,,0.606306,,0.969902,,0.126028
162,646,380.5,122.5,50,53,35,False,-0.358227,,0.328021,,0.347213,,0.25166
36,646,433.5,17.5,50,53,35,True,0.00268442,,0.34857,,0.425996,0.485251,0.205258
81,646,433.5,52.5,50,53,35,True,0.591197,,-0.849944,,-0.347048,,0.546842
126,646,433.5,87.5,50,53,35,False,-0.060122,,0.137376,,-0.467626,,0.113405
171,646,433.5,122.5,50,53,35,False,-0.212881,,0.635097,,-1.5485,,1.87634
45,646,486.5,17.5,50,53,35,False,-0.112059,,1.14498,,4.58218,3.05702,-0.00710859
90,646,486.5,52.5,50,53,35,False,-0.454056,,1.8422,,2.85184,,1.38534
135,646,486.5,87.5,50,53,35,False,-0.0372392,,1.92273,,4.29888,,2.60333
180,646,486.5,122.5,50,53,35,False,-0.150144,,1.35073,,1.54354,,0.531078
